epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4868,1.32132,3.4651,0.00866,0.82865,0.17308,0.29272,0.19327,1.22354,4.48176,0.01342,0.000656085,0.000656085,0.000656085
2,127.295,1.50756,2.58888,0.01073,0.54324,0.41313,0.4427,0.23655,1.4675,2.55315,0.01691,0.00132272,0.00132272,0.00132272
3,171.936,1.57863,2.26251,0.0116,0.514,0.35337,0.37377,0.17674,1.71182,2.29408,0.02257,0.0019892,0.0019892,0.0019892
4,216.338,1.67616,2.06035,0.0127,0.53167,0.39663,0.40864,0.20466,1.65098,2.23198,0.02103,0.00199951,0.00199951,0.00199951
5,259.651,1.69377,1.97781,0.01285,0.55636,0.42909,0.46569,0.22965,1.74549,2.01743,0.02327,0.00199913,0.00199913,0.00199913
6,303.323,1.68915,1.88416,0.01279,0.536,0.49038,0.47992,0.23352,1.7944,1.85977,0.02316,0.00199864,0.00199864,0.00199864
7,347.044,1.67186,1.82782,0.01323,0.56113,0.481,0.51107,0.2602,1.60341,1.77847,0.02068,0.00199805,0.00199805,0.00199805
8,390.595,1.65428,1.77431,0.01247,0.5766,0.44591,0.49015,0.26306,1.69673,1.83574,0.02188,0.00199734,0.00199734,0.00199734
9,435.05,1.65915,1.76926,0.01276,0.55125,0.48427,0.51668,0.2755,1.58421,1.8394,0.01971,0.00199653,0.00199653,0.00199653
10,479.373,1.6603,1.71562,0.01252,0.61133,0.54087,0.5543,0.30103,1.65019,1.69765,0.02262,0.00199561,0.00199561,0.00199561
11,523.277,1.64453,1.68904,0.01205,0.64201,0.44403,0.51573,0.28176,1.64601,1.72394,0.01973,0.00199458,0.00199458,0.00199458
12,567.361,1.63522,1.69208,0.01249,0.59649,0.50105,0.53753,0.28039,1.62628,1.71198,0.01993,0.00199344,0.00199344,0.00199344
13,610.534,1.62308,1.65442,0.01221,0.6349,0.48438,0.53425,0.2914,1.64498,1.67187,0.02113,0.00199219,0.00199219,0.00199219
14,654.231,1.61192,1.63736,0.01246,0.60381,0.48725,0.52283,0.28088,1.63162,1.62434,0.01902,0.00199084,0.00199084,0.00199084
15,697.466,1.61726,1.62869,0.01208,0.54523,0.43149,0.43117,0.22012,1.76665,1.8701,0.02421,0.00198938,0.00198938,0.00198938
16,740.172,1.60821,1.61278,0.01189,0.59302,0.51202,0.53085,0.29202,1.62301,1.66421,0.02005,0.00198781,0.00198781,0.00198781
17,783.523,1.60932,1.59125,0.01151,0.60037,0.51461,0.55605,0.31169,1.50015,1.57279,0.01815,0.00198614,0.00198614,0.00198614
18,827.706,1.60416,1.57993,0.01156,0.5948,0.47236,0.5207,0.28688,1.67027,1.72155,0.02224,0.00198435,0.00198435,0.00198435
19,871.751,1.60456,1.55506,0.01176,0.62176,0.50841,0.56278,0.29509,1.71608,1.57068,0.02249,0.00198246,0.00198246,0.00198246
20,914.41,1.59197,1.57342,0.01187,0.6205,0.51322,0.56428,0.30347,1.55868,1.54225,0.01853,0.00198047,0.00198047,0.00198047
21,958.545,1.57703,1.55645,0.01193,0.63576,0.48881,0.54236,0.28412,1.63096,1.6825,0.02074,0.00197837,0.00197837,0.00197837
22,1001.39,1.57734,1.53436,0.01176,0.64138,0.46034,0.50716,0.26618,1.59906,1.82853,0.01956,0.00197616,0.00197616,0.00197616
23,1044.91,1.59789,1.5476,0.01144,0.58267,0.55409,0.58026,0.32541,1.55668,1.54826,0.01905,0.00197384,0.00197384,0.00197384
24,1088.56,1.58323,1.52604,0.01133,0.64025,0.50697,0.5584,0.30693,1.61071,1.68379,0.01976,0.00197142,0.00197142,0.00197142
25,1131.55,1.56415,1.49164,0.01122,0.61614,0.47476,0.53428,0.28971,1.57658,1.86059,0.0195,0.0019689,0.0019689,0.0019689
26,1175.19,1.55874,1.49836,0.0115,0.68598,0.51461,0.59778,0.33973,1.51357,1.49349,0.01777,0.00196627,0.00196627,0.00196627
27,1218.75,1.56117,1.45819,0.01116,0.67947,0.54928,0.60547,0.3371,1.60707,1.43649,0.01974,0.00196353,0.00196353,0.00196353
28,1261.83,1.55631,1.45887,0.01133,0.65854,0.5146,0.57677,0.31828,1.61234,1.50113,0.01946,0.00196069,0.00196069,0.00196069
29,1305.2,1.56024,1.43372,0.01143,0.67176,0.48558,0.55717,0.30799,1.71269,1.57521,0.02266,0.00195775,0.00195775,0.00195775
30,1346.6,1.53981,1.44905,0.01111,0.68903,0.50721,0.59124,0.32745,1.60177,1.58357,0.01957,0.0019547,0.0019547,0.0019547
31,1390.75,1.54257,1.45062,0.01139,0.63417,0.50962,0.56865,0.32687,1.55271,1.55263,0.01858,0.00195155,0.00195155,0.00195155
32,1434.86,1.54682,1.41767,0.011,0.67336,0.53245,0.58088,0.32681,1.60442,1.51602,0.01939,0.00194829,0.00194829,0.00194829
33,1477.76,1.52733,1.41256,0.01098,0.68924,0.53486,0.59946,0.3336,1.58958,1.48529,0.01916,0.00194493,0.00194493,0.00194493
34,1522.11,1.55325,1.42271,0.01095,0.6309,0.51361,0.57071,0.33701,1.52987,1.52758,0.01805,0.00194147,0.00194147,0.00194147
35,1565.78,1.51786,1.4149,0.01103,0.66997,0.53726,0.59957,0.34239,1.54143,1.46914,0.018,0.00193791,0.00193791,0.00193791
36,1609.67,1.53795,1.40959,0.01084,0.68537,0.52404,0.59814,0.34149,1.58987,1.48147,0.01929,0.00193424,0.00193424,0.00193424
37,1652.64,1.50834,1.36613,0.01093,0.73038,0.4884,0.60339,0.33704,1.51757,1.52751,0.01843,0.00193048,0.00193048,0.00193048
38,1695.82,1.53981,1.41822,0.01079,0.6396,0.54688,0.5947,0.34539,1.50329,1.55135,0.0177,0.00192661,0.00192661,0.00192661
39,1739.67,1.5277,1.37509,0.01094,0.65254,0.5613,0.59549,0.33261,1.65079,1.55266,0.01937,0.00192264,0.00192264,0.00192264
40,1783.06,1.5206,1.36524,0.01056,0.6616,0.53107,0.60571,0.34266,1.53161,1.47832,0.018,0.00191858,0.00191858,0.00191858
41,1827.24,1.49711,1.34479,0.01065,0.68354,0.53365,0.61264,0.35329,1.51894,1.4689,0.01736,0.00191441,0.00191441,0.00191441
42,1871.98,1.5201,1.36876,0.01089,0.71235,0.52764,0.61214,0.3506,1.52304,1.43366,0.01795,0.00191014,0.00191014,0.00191014
43,1915.19,1.51007,1.32652,0.01079,0.73586,0.50481,0.58526,0.33836,1.48145,1.58573,0.01715,0.00190578,0.00190578,0.00190578
44,1958.93,1.49188,1.32031,0.01053,0.66919,0.56165,0.61115,0.359,1.51109,1.44246,0.01862,0.00190132,0.00190132,0.00190132
45,2003.36,1.49507,1.32408,0.01053,0.64559,0.55612,0.59945,0.34681,1.50571,1.48217,0.01781,0.00189675,0.00189675,0.00189675
46,2046.48,1.48551,1.32325,0.01057,0.63977,0.57091,0.60862,0.34412,1.49746,1.40893,0.01759,0.0018921,0.0018921,0.0018921
47,2089.49,1.51071,1.30915,0.01063,0.70858,0.55168,0.63509,0.35968,1.49494,1.34954,0.01732,0.00188734,0.00188734,0.00188734
48,2133.27,1.483,1.31485,0.01031,0.65796,0.55409,0.61802,0.35385,1.54997,1.37462,0.01819,0.00188249,0.00188249,0.00188249
49,2177.1,1.48302,1.31589,0.01055,0.66629,0.53994,0.59632,0.33889,1.51625,1.45256,0.0172,0.00187754,0.00187754,0.00187754
50,2221.14,1.49402,1.29844,0.01074,0.71325,0.48558,0.59556,0.34184,1.58358,1.45929,0.01866,0.0018725,0.0018725,0.0018725
